"metadata","canton","value","value_metadata"
"Tourism","ZH",0.544,
"Net bed occupancy","BE",0.426,
"Nights spent * 100 / (Days Hotel is open) * (available Beds)","LU",0.431,
"http://www.bfs.admin.ch/bfs/portal/de/index/themen/10/01/key.html","UR",0.274,
"unknown","SZ",0.395,
,"OW",0.412,
2010,"NW",0.317,
"October 20th 2011","GL",0.267,
,"ZG",0.431,
"percentage","FR",0.284,
,"SO",0.348,
,"BS",0.471,
,"BL",0.291,
,"SH",0.284,
,"AR",0.246,
,"AI",0.264,
,"SG",0.315,
,"GR",0.463,
,"AG",0.367,
,"TG",0.33,
,"TI",0.417,
,"VD",0.425,
,"VS",0.448,
,"NE",0.279,
,"GE",0.521,
,"JU",0.163,
